Codigo;Nome;TipoEstacao;TipoEstacaoCodigo;Operando;CodigoAdicional;Latitude;Longitude;Altitude;AreaDrenagem;Bacia;BaciaCodigo;SubBacia;SubBaciaCodigo;Rio;RioCodigo;UF;UFCodigo;Municipio;MunicipioCodigo;Responsavel;ResponsavelSigla;ResponsavelCodigo;ResponsavelUnidade;Operadora;OperadoraSigla;OperadoraCodigo;OperadoraUnidade;OperadoraRoteiro;EscalaNivel;EscalaNivelInicio;EscalaNivelFim;RegistradorNivel;RegistradorNivelInicio;RegistradorNivelFim;MedicaoDescargaLiquida;MedicaoDescargaLiquidaInicio;MedicaoDescargaLiquidaInicioFim;MedicaoDescargaSolida;MedicaoDescargaSolidaInicio;MedicaoDescargaSolidaFim;MedicaoQA;MedicaoQAInicio;MedicaoQAFim;PluviometroConvencional;PluviometroConvencionalInicio;PluviometroConvencionalFim;RegistradorChuva;RegistradorChuvaInicio;RegistradorChuvaFim;TanqueEvaporimetrico;TanqueEvaporimetricoInicio;TanqueEvaporimetricoFim;EstacaoClimatologica;EstacaoClimatologicaInicio;EstacaoClimatologicaFim;EstacaoPiezometria;EstacaoPiezometriaInicio;EstacaoPiezometriaFim;EstacaoTelemetrica;EstacaoTelemetricaInicio;EstacaoTelemetricaFim;RedeBasica;RedeEnergetica;RedeNavegacao;RedeCursoDagua;RedeEstrategica;RedeCaptacao;RedeRHNR;RedeQA;RedeClasseVazao;Descricao;Geom;x;y
"1.547.087";BRASÍLIA_Sobradinho;Pluviométrica;"2";Sim;530010804;"-15,624";"-47,847";"1.109";;RIO TOCANTINS;"2";RIO TOCANTINS,MARANHÃO,PALMAS..;"20";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Centro Nacional de Monitoramento e Alertas de Desastres Naturais.;CEMADEN;"451";SP;Centro Nacional de Monitoramento e Alertas de Desastres Naturais.;CEMADEN;"451";SP;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2013;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2013;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA;;"-47,847";"-15,624"
"1.547.088";BRASÍLIA_Nucleo Bandeirante;Pluviométrica;"2";Sim;530010805;"-15,877";"-47,963";"1.029";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Centro Nacional de Monitoramento e Alertas de Desastres Naturais.;CEMADEN;"451";SP;Centro Nacional de Monitoramento e Alertas de Desastres Naturais.;CEMADEN;"451";SP;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2013;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2013;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA;;"-47,963";"-15,877"
"1.547.089";RIBEIRÃO TORTO JUSANTE CÓRREGO URUBÚ;Pluviométrica;"2";Sim;ADASA;"-15,722";"-47,868";;;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";;Serviço Geológico do Brasil;SGB-CPRM;"82";;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/5/2016;;Não;;;Não;;;Não;;;Não;;;Sim;31/5/2016;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-47,868";"-15,722"
"1.547.091";PIPIRIPAU FRINOCAP - DF 230;Pluviométrica;"2";Sim;;"-15,659";"-47,625";"925,08";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/6/2017;;Não;;;Não;;;Não;;;Não;;;Sim;30/6/2017;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-47,625";"-15,659"
"1.547.092";SANTA MARIA - BARRAGEM;Pluviométrica;"2";Sim;;"-15,669";"-47,953";"1.075,66";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/10/2014;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-47,953";"-15,669"
"1.547.093";MONTANTE ZOOLÓGICO - EPIA 003 - RIACHO FUNDO;Pluviométrica;"2";Sim;;"-15,859";"-47,942";"1.005";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;"10";Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/1/2016;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-47,942";"-15,859"
"1.547.094";RIBEIRÃO JARDIM DF 100;Pluviométrica;"2";Sim;ADASA;"-15,974";"-47,399";"867";;RIO SÃO FRANCISCO;"4";RIOS SÃO FRANCISCO,PARACATU E;"42";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";;Serviço Geológico do Brasil;SGB-CPRM;"82";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/6/2017;;Não;;;Não;;;Não;;;Não;;;Sim;30/6/2017;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-47,399";"-15,974"
"1.547.096";UHE PARANOÁ CÓRREGO CABEÇA DE VEADO;Pluviométrica;"2";Sim;;"-15,856";"-47,858";"1.003,96";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";CEB Geração S.A.;CEB;"133";;CEB Geração S.A.;CEB;"133";;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/11/2018;;Não;;;Não;;;Não;;;Não;;;Sim;30/11/2018;;Não;Sim;Não;Não;Não;Nulo;Não;Não;Não;RES. ANA/ANEEL N. 03/2010;;"-47,857";"-15,856"
"1.547.097";UHE PARANOÁ CÓRREGO BANANAL;Pluviométrica;"2";Sim;;"-15,728";"-47,91";"1.003";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";CEB Geração S.A.;CEB;"133";;CEB Geração S.A.;CEB;"133";;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/1/2019;;Não;;;Não;;;Não;;;Não;;;Sim;31/1/2019;;Não;Sim;Não;Não;Não;Nulo;Não;Não;Não;RES. ANA/ANEEL N. 03/2010;;"-47,91";"-15,728"
"1.547.098";PIPIRIPAU;Pluviométrica;"2";Sim;ANA;"-15,614";"-47,546";"1.008";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Nacional de Águas ;ANA;"1";DF;Serviço Geológico do Brasil;SGB-CPRM;"82";GO;"95";Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/8/2009;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES RHNR2018;;"-47,546";"-15,614"
